date,x,y,z
2019-01-11,0.0,0.0,0.0
2019-01-10,30436.96000000001,0.0,0.0
2019-01-09,30132.28,212952.094433,128.52
2019-01-08,29883.240000000005,352014.45016,192.18
2019-01-07,29843.17,375139.756514,172.62000000000003
2019-01-06,29520.23,420714.7821390001,217.98
2019-01-05,29308.36,376970.94769900007,183.3
2019-01-04,31114.940000000013,339321.70448899985,174.59999999999997
2019-01-03,30953.24,383834.70136999997,197.52
2019-01-02,29647.83,379943.385348,199.2
2019-01-01,9098.830000000004,221854.328826,88.26
2018-12-31,3522.9299999999994,76976.74379300003,30.83999999999999
2018-12-30,7722.129999999999,210282.286054,85.80000000000003
2018-12-29,7731.69,184870.553121,88.86
2018-12-28,7838.080000000003,203588.781784,84.6
2018-12-27,8031.669999999997,245940.99543200003,90.84
2018-12-26,8819.809999999998,194513.682991,77.52
2018-12-25,6549.109999999998,136605.95935000002,65.75999999999999
2018-12-24,5015.84,87121.95556000003,44.52
2018-12-23,5145.909999999998,137563.979567,52.02
2018-12-22,4823.69,107923.416433,44.52
2018-12-21,4797.22,106753.64014699995,47.46
2018-12-20,5015.930000000001,120790.77259400001,46.13999999999999
2018-12-19,5019.059999999997,122011.879075,61.44000000000001
2018-12-18,7623.48,189779.703736,90.05999999999996
2018-12-17,11879.250000000002,293540.57401699986,149.82
2018-12-16,12058.41,366604.422485,154.62
2018-12-15,11833.510000000006,276072.08876499993,141.24
2018-12-14,12127.650000000005,252696.129202,125.28000000000002
2018-12-13,13612.409999999998,321809.42337600014,137.7
2018-12-12,15218.66,343419.90721800004,136.56000000000003
2018-12-11,14061.32,253656.15859800013,114.29999999999998
2018-12-10,14984.929999999995,316693.8632,125.82
2018-12-09,14820.05,407420.724814,167.81999999999996
2018-12-08,15176.5,309785.497157,119.64
2018-12-07,15637.329999999998,281424.52784600004,147.36000000000004
2018-12-06,22865.64,350213.23658200004,183.78000000000003
2018-12-05,35484.22999999998,442708.934149,230.76
2018-12-04,35072.609999999986,420124.638715,222.78
2018-12-03,39114.38000000001,482142.6994390001,248.82
2018-12-02,39612.31999999999,547282.8997540001,315.0600000000001
2018-12-01,38378.45999999999,458313.700681,231.66
2018-11-30,38306.17,395650.858456,243.12
2018-11-29,39085.419999999984,454028.14863700006,245.46
2018-11-28,39134.8,446640.72524799994,225.3
2018-11-27,38929.669999999984,441879.99280600005,244.50000000000009
2018-11-26,37943.74999999999,421681.728149,223.26
2018-11-25,38150.71,492148.65518500004,286.7399999999999
2018-11-24,38732.37,380965.0768370001,233.64
2018-11-23,38317.15,391639.59950300003,212.22000000000003
2018-11-22,38395.96999999998,437842.863362,237.12
2018-11-21,38029.529999999984,394550.780383,199.98
2018-11-20,30483.56,336089.788803,144.96000000000004
2018-11-19,38229.28999999999,422840.2954729999,243.78
2018-11-18,37976.04999999998,480918.6574679998,251.94
2018-11-17,36699.10999999999,393493.054881,227.94000000000003
2018-11-16,32534.199999999993,322261.41246,191.16000000000003
2018-11-15,26415.35000000001,318606.79919499985,188.45999999999995
2018-11-14,25252.369999999995,337906.34417199995,174.30000000000007
2018-11-13,25252.619999999995,325490.7753160001,177.66
2018-11-12,25190.93,362070.2839750001,182.82
2018-11-11,24835.99,402005.401617,234.78
2018-11-10,25340.66,345633.831548,199.32
2018-11-09,25519.6,287836.930741,184.01999999999995
2018-11-08,25329.980000000003,364175.654714,183.3
2018-11-07,25308.92,349947.59105299995,206.16000000000003
2018-11-06,25551.700000000008,384691.2100239999,188.4
2018-11-05,25168.060000000005,392456.8347650001,222.06
2018-11-04,25480.279999999995,446580.81299899996,256.14
2018-11-03,22926.24999999999,337144.08774000005,210.12
2018-11-02,26508.74,326394.90205799986,189.6599999999999
2018-11-01,28526.8,374965.71330300014,259.08
2018-10-31,27578.91,352146.2405870001,216.84
2018-10-30,27560.17,393745.170846,236.22000000000003
2018-10-29,27307.0,416137.730275,245.58
2018-10-28,28418.420000000016,515499.609327,268.80000000000007
2018-10-27,27402.720000000005,415628.32704,246.66
2018-10-26,26187.180000000004,340959.962102,207.95999999999992
2018-10-25,24557.9,368780.962051,222.48000000000005
2018-10-24,24706.41000000001,353630.071363,249.78
2018-10-23,22655.78,335821.68307,249.36
2018-10-22,10779.9,234750.19368899995,150.78000000000003
2018-10-21,11373.229999999998,293454.6309189999,180.78000000000003
2018-10-20,9281.41,192773.652729,143.16000000000003
2018-10-19,10872.61,210791.687433,161.10000000000005
2018-10-18,10295.15,230995.140043,122.76000000000002
2018-10-17,11101.180000000006,243019.40156300002,150.84
2018-10-16,10974.380000000003,236304.82008200002,159.06000000000003
2018-10-15,10969.649999999998,249368.16756800012,153.84
2018-10-14,11152.390000000005,311944.5214740002,198.05999999999992
2018-10-13,10977.450000000004,237820.89652399998,143.88
